order_index,order_date,product_index,customer_index,order_units
109,01/01/2018,8,33,7
475,01/01/2018,22,1,1
637,01/01/2018,9,5,15
666,01/01/2018,22,12,14
707,01/01/2018,22,48,10
1735,01/01/2018,9,2,4
2456,01/01/2018,9,20,6
2563,01/01/2018,5,42,4
2622,01/01/2018,16,33,4
2752,01/01/2018,21,46,10
2854,01/01/2018,14,44,8
3082,01/01/2018,18,35,3
3122,01/01/2018,14,16,7
3207,01/01/2018,23,36,4
3301,01/01/2018,10,2,5
3416,01/01/2018,17,3,15
5292,01/01/2018,8,35,12
5639,01/01/2018,17,45,5
5869,01/01/2018,1,38,7
5914,01/01/2018,13,19,7
6527,01/01/2018,4,43,5
6662,01/01/2018,8,26,1
6894,01/01/2018,14,2,4
6947,01/01/2018,21,35,4
7298,01/01/2018,9,25,15
7434,01/01/2018,17,17,11
8088,01/01/2018,1,3,14
8197,01/01/2018,1,35,4
8969,01/01/2018,11,42,16
9002,01/01/2018,2,36,2
9305,01/01/2018,8,28,11
9550,01/01/2018,11,39,4
9857,01/01/2018,14,1,10
10064,01/01/2018,23,42,15
10607,01/01/2018,9,31,16
10719,01/01/2018,8,46,14
11016,01/01/2018,18,45,2
11189,01/01/2018,21,27,16
11307,01/01/2018,21,27,11
11321,01/01/2018,20,1,2
11675,01/01/2018,14,46,11
11697,01/01/2018,13,9,15
11796,01/01/2018,23,25,6
12277,01/01/2018,3,42,3
12326,01/01/2018,9,19,11
13002,01/01/2018,11,2,11
13052,01/01/2018,1,26,14
13236,01/01/2018,23,45,11
13280,01/01/2018,21,1,7
13536,01/01/2018,8,9,12
13683,01/01/2018,21,43,6
13714,01/01/2018,8,1,3
13830,01/01/2018,4,45,15
13898,01/01/2018,11,19,13
14430,01/01/2018,22,35,7
14582,01/01/2018,24,1,17
15121,01/01/2018,14,47,2
15418,01/01/2018,6,9,9
15844,01/01/2018,20,25,12
16135,01/01/2018,23,29,11
17268,01/01/2018,18,6,8
17726,01/01/2018,25,28,6
17832,01/01/2018,3,11,9
17835,01/01/2018,4,26,1
18027,01/01/2018,11,33,11
18788,01/01/2018,17,38,5
19547,01/01/2018,4,11,3
19550,01/01/2018,11,33,2
19718,01/01/2018,13,26,1
20149,01/01/2018,3,18,7
20161,01/01/2018,22,1,3
20183,01/01/2018,18,20,1
20210,01/01/2018,4,49,15
20301,01/01/2018,17,36,8
20563,01/01/2018,5,35,1
930,02/01/2018,17,39,17
1056,02/01/2018,4,5,8
1137,02/01/2018,7,35,10
3439,02/01/2018,18,24,9
5043,02/01/2018,11,12,4
5183,02/01/2018,23,14,7
5579,02/01/2018,13,45,17
6582,02/01/2018,13,18,4
6984,02/01/2018,12,43,15
7817,02/01/2018,4,7,10
7900,02/01/2018,24,1,9
8529,02/01/2018,24,19,1
9094,02/01/2018,11,48,7
10735,02/01/2018,18,25,7
11424,02/01/2018,20,42,8
12214,02/01/2018,10,19,13
12330,02/01/2018,21,38,12
12752,02/01/2018,7,1,16
12977,02/01/2018,24,45,8
13079,02/01/2018,11,20,9
13681,02/01/2018,25,26,14
14810,02/01/2018,13,42,16
15752,02/01/2018,14,46,8
15768,02/01/2018,13,43,16
16224,02/01/2018,9,38,12
16717,02/01/2018,7,4,4
17008,02/01/2018,18,26,7
17036,02/01/2018,4,27,9
